,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
2.0,0.0,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel",475,0.1633
0.0,1.0,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test",716,0.2462
4.0,2.0,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless",538,0.185
1.0,3.0,"drive, full, level, 2, musk, elon, year, call, 5, claim",614,0.2111
3.0,4.0,"car, vehicl, featur, make, road, requir, mile, current, accid, 1",565,0.1943
